Jason Smith,"$2,000 ",Republican,Missouri
Elise Stefanik,"$2,000 ",Republican,New York
Steve Stivers,"$2,000 ",Republican,Ohio
Glenn Thompson,"$2,000 ",Republican,Pennsylvania
Mac Thornberry,"$2,000 ",Republican,Texas
Dave Trott,"$2,000 ",Republican,Michigan
Michael R Turner,"$2,000 ",Republican,Ohio
Ann L Wagner,"$2,000 ",Republican,Missouri
Greg Walden,"$2,000 ",Republican,Oregon
Mark Walker,"$2,000 ",Republican,North Carolina
Jackie Walorski,"$2,000 ",Republican,Indiana
Mimi Walters,"$2,000 ",Republican,California
Brad Wenstrup,"$2,000 ",Republican,Ohio
Joe Wilson,"$2,000 ",Republican,South Carolina
Rob Wittman,"$2,000 ",Republican,Virginia
Steven Palazzo,"$1,750 ",Republican,Mississippi
Mark Amodei,"$1,500 ",Republican,Nevada
Mike Conaway,"$1,500 ",Republican,Texas
Mike Kelly,"$1,500 ",Republican,Pennsylvania
Steve Womack,"$1,500 ",Republican,Arkansas
Mark R Meadows,"$1,150 ",Republican,North Carolina
Ralph Abraham,"$1,000 ",Republican,Louisiana
Lou Barletta,"$1,000 ",Republican,Pennsylvania
Dan Benishek,"$1,000 ",Republican,Michigan
Jaime Herrera Beutler,"$1,000 ",Republican,Washington
Mo Brooks,"$1,000 ",Republican,Alabama
Susan Brooks,"$1,000 ",Republican,Indiana
Larry Bucshon,"$1,000 ",Republican,Indiana
Michael Burgess,"$1,000 ",Republican,Texas
Rick Crawford,"$1,000 ",Republican,Arkansas
Ander Crenshaw,"$1,000 ",Republican,Florida
Warren Davidson,"$1,000 ",Republican,Ohio
Ron DeSantis,"$1,000 ",Republican,Florida
John Fleming,"$1,000 ",Republican,Louisiana
Randy Forbes,"$1,000 ",Republican,Virginia
Jeff Fortenberry,"$1,000 ",Republican,Nebraska
Louis B Jr Gohmert,"$1,000 ",Republican,Texas
Brett Guthrie,"$1,000 ",Republican,Kentucky
Robert Hurt,"$1,000 ",Republican,Virginia
Walter B Jr Jones,"$1,000 ",Republican,North Carolina
Raul Labrador,"$1,000 ",Republican,Idaho
Frank LoBiondo,"$1,000 ",Republican,New Jersey
Kenny Marchant,"$1,000 ",Republican,Texas
Kevin McCarthy,"$1,000 ",Republican,California
David McKinley,"$1,000 ",Republican,West Virginia
Dave Reichert,"$1,000 ",Republican,Washington
Dana Rohrabacher,"$1,000 ",Republican,California
Tom Rooney,"$1,000 ",Republican,Florida
David Schweikert,"$1,000 ",Republican,Arizona
F James Jr Sensenbrenner,"$1,000 ",Republican,Wisconsin
Fred Upton,"$1,000 ",Republican,Michigan
Randy Weber,"$1,000 ",Republican,Texas
Daniel Webster,"$1,000 ",Republican,Florida
Bruce Westerman,"$1,000 ",Republican,Arkansas
Ted Yoho,"$1,000 ",Republican,Florida
Sanford Bishop,"$3,500 ",Democrat,Georgia
Henry Cuellar,"$3,000 ",Democrat,Texas
Collin Peterson,"$2,000 ",Democrat,Minnesota
Tim Walz,"$2,000 ",Democrat,Minnesota
Tammy Duckworth,$50 ,Democrat,Illinois
