Adam Kinzinger,Republican,Illinois 16,,
Raúl Labrador,Republican,Idaho 1,,
Billy Long,Republican,Missouri 7,,
Tom Marino,Republican,Pennsylvania 10,,
David McKinley,Republican,West Virginia 1,,
Pat Meehan,Republican,Pennsylvania 7,,
Mick Mulvaney,Republican,South Carolina 5,,
Kristi Noem,Republican,South Dakota at-large,,
Rich Nugent,Republican,Florida 11,,
Alan Nunnelee,Republican,Mississippi 1,,
Steven Palazzo,Republican,Mississippi 4,,
Mike Pompeo,Republican,Kansas 4,,
Jim Renacci,Republican,Ohio 16,,
Reid Ribble,Republican,Wisconsin 8,,
Cedric Richmond,Democrat,Louisiana 2,,
Scott Rigell,Republican,Virginia 2,,
Martha Roby,Republican,Alabama 2,,
Todd Rokita,Republican,Indiana 4,,
Dennis Ross,Republican,Florida 15,,
David Schweikert,Republican,Arizona 6,,
Austin Scott,Republican,Georgia 8,,
Terri Sewell,Democrat,Alabama 7,,
Steve Stivers,Republican,Ohio 15,,
Scott Tipton,Republican,Colorado 3,,
Daniel Webster,Republican,Florida 10,,
Frederica Wilson,Democrat,Florida 24,,
Steve Womack,Republican,Arkansas 3,,
Rob Woodall,Republican,Georgia 7,,
Kevin Yoder,Republican,Kansas 3,,
Todd Young,Republican,Indiana 9,,
Janice Hahn,Democrat,California 44,,
Mark Amodei,Republican,Nevada 2,,
Suzanne Bonamici,Democrat,Oregon 1,,
Suzan DelBene,Democrat,Washington 1,,
Thomas Massie,Republican,Kentucky 4,,
Donald Payne Jr.,Democrat,New Jersey 10,,
Alan Grayson,Democrat,Florida 9,,
Ann Kirkpatrick,Democrat,Arizona 1,,
Dina Titus,Democrat,Nevada 1,,
Andy Barr,Republican,Kentucky 6,,
Joyce Beatty,Democrat,Ohio 3,,
Ami Bera,Democrat,California 7,,
Jim Bridenstine,Republican,Oklahoma 1,,
Susan Brooks,Republican,Indiana 5,,
Julia Brownley,Democrat,California 26,,
Cheri Bustos,Democrat,Illinois 17,,
Tony Cárdenas,Democrat,California 29,,
Matt Cartwright,Democrat,Pennsylvania 17,,
Joaquin Castro,Democrat,Texas 20,,
Chris Collins,Republican,New York 27,,
Doug Collins,Republican,Georgia 9,,
Paul Cook,Republican,California 8,,
Kevin Cramer,Republican,North Dakota at-large,,
Rodney Davis,Republican,Illinois 13,,
John Delaney,Democrat,Maryland 6,,
Ron DeSantis,Republican,Florida 6,,
Tammy Duckworth,Democrat,Illinois 8,,
Elizabeth Esty,Democrat,Connecticut 5,,
Lois Frankel,Democrat,Florida 22,,
Tulsi Gabbard,Democrat,Hawaii 2,,
Dennis Heck,Democrat,Washington 10,,
George Holding,Republican,North Carolina 13,,
Richard Hudson,Republican,North Carolina 8,,
Jared Huffman,Democrat,California 2,,
Hakeem Jeffries,Democrat,New York 8,,
David Joyce,Republican,Ohio 14,,
Joseph Kennedy III,Democrat,Massachusetts 4,,
Dan Kildee,Democrat,Michigan 5,,
Derek Kilmer,Democrat,Washington 6,,
Ann McLane Kuster,Democrat,New Hampshire 2,,
Doug LaMalfa,Republican,California 1,,
Alan Lowenthal,Democrat,California 47,,
Michelle Lujan Grisham,Democrat,New Mexico 1,,
Sean Patrick Maloney,Democrat,New York 18,,
Mark Meadows,Republican,North Carolina 11,,
Grace Meng,Democrat,New York 6,,
Luke Messer,Republican,Indiana 6,,
Markwayne Mullin,Republican,Oklahoma 2,,
Patrick Murphy,Democrat,Florida 18,,
Beto O'Rourke,Democrat,Texas 16,,
Scott Perry,Republican,Pennsylvania 4,,
Scott Peters,Democrat,California 52,,
Robert Pittenger,Republican,North Carolina 9,,
Mark Pocan,Democrat,Wisconsin 2,,
Tom Rice,Republican,South Carolina 7,,
Keith Rothfus,Republican,Pennsylvania 12,,
Raul Ruiz,Democrat,California 36,,
Kyrsten Sinema,Democrat,Arizona 9,,
Chris Stewart,Republican,Utah 2,,
Eric Swalwell,Democrat,California 15,,
Mark Takano,Democrat,California 41,,
David Valadao,Republican,California 21,,
Juan Vargas,Democrat,California 51,,
Marc Veasey,Democrat,Texas 33,,
Filemon Vela Jr.,Democrat,Texas 34,,
Ann Wagner,Republican,Missouri 2,,
Jackie Walorski,Republican,Indiana 2,,
Randy Weber,Republican,Texas 14,,
Brad Wenstrup,Republican,Ohio 2,,
Roger Williams,Republican,Texas 25,,
Ted Yoho,Republican,Florida 3,,
Robin Kelly,Democrat,Illinois 2,,
Jason Smith,Republican,Missouri 8,,
Katherine Clark,Democrat,Massachusetts 5,,
Bradley Byrne,Republican,Alabama 1,,
David Jolly,Republican,Florida 13,,
Curt Clawson,Republican,Florida 19,,
Alma Adams,Democrat,North Carolina 12,,
Dave Brat,Republican,Virginia 7,,
Donald Norcross,Democrat,New Jersey 1,,
Robert Dold,Republican,Illinois 10,,
Frank Guinta,Republican,New Hampshire 1,,
Ralph Abraham,Republican,Louisiana 5,,
Pete Aguilar,Democrat,California 31,,
Rick W. Allen,Republican,Georgia 12,,
Brad Ashford,Democrat,Nebraska 2,,
Brian Babin,Republican,Texas 36,,
Don Beyer,Democrat,Virginia 8,,
Mike Bishop,Republican,Michigan 8,,
Rod Blum,Republican,Iowa 1,,
Mike Bost,Republican,Illinois 12,,
Brendan F. Boyle,Democrat,Pennsylvania 13,,
Ken Buck,Republican,Colorado 4,,
Buddy Carter,Republican,Georgia 1,,
Barbara Comstock,Republican,Virginia 10,,
Ryan Costello,Republican,Pennsylvania 6,,
Carlos Curbelo,Republican,Florida 26,,
Mark DeSaulnier,Democrat,California 11,,
Debbie Dingell,Democrat,Michigan 12,,
Tom Emmer,Republican,Minnesota 6,,
Ruben Gallego,Democrat,Arizona 7,,
Gwen Graham,Democrat,Florida 2,,
Garret Graves,Republican,Louisiana 6,,
Glenn Grothman,Republican,Wisconsin 6,,
Cresent Hardy,Republican,Nevada 4,,
Jody Hice,Republican,Georgia 10,,
French Hill,Republican,Arkansas 2,,
Will Hurd,Republican,Texas 23,,
Evan Jenkins,Republican,West Virginia 3,,
John Katko,Republican,New York 24,,
Steve Knight,Republican,California 25,,
Brenda Lawrence,Democrat,Michigan 14,,
Ted Lieu,Democrat,California 33,,
Barry Loudermilk,Republican,Georgia 11,,
Mia Love,Republican,Utah 4,,
Tom MacArthur,Republican,New Jersey 3,,
Martha McSally,Republican,Arizona 2,,
John Moolenaar,Republican,Michigan 4,,
Alex Mooney,Republican,West Virginia 2,,
Seth Moulton,Democrat,Massachusetts 6,,
Dan Newhouse,Republican,Washington 4,,
Gary Palmer,Republican,Alabama 6,,
Bruce Poliquin,Republican,Maine 2,,
John Ratcliffe,Republican,Texas 4,,
Kathleen Rice,Democrat,New York 4,,
David Rouzer,Republican,North Carolina 7,,
Steve Russell,Republican,Oklahoma 5,,
Elise Stefanik,Republican,New York 21,,
Mark Takai,Democrat,Hawaii 1,,
Norma Torres,Democrat,California 35,,
David Trott,Republican,Michigan 11,,
Mark Walker,Republican,North Carolina 6,,
Mimi Walters,Republican,California 45,,
Bonnie Watson Coleman,Democrat,New Jersey 12,,
Bruce Westerman,Republican,Arkansas 4,,
David Young,Republican,Iowa 3,,
Lee Zeldin,Republican,New York 1,,
Ryan Zinke,Republican,Montana at-large,,
Dan Donovan,Republican,New York 11,,
Trent Kelly,Republican,Mississippi 1,,
Darin LaHood,Republican,Illinois 18,,
Warren Davidson,Republican,Ohio 8,,
Colleen Hanabusa,Democrat,Hawaii 1,,
James Comer,Republican,Kentucky 1,,
Dwight Evans,Democrat,Pennsylvania 2,,
